Date,Store,Dept,Actual_Sales,Predicted_Sales,Error,Abs_Percent_Error
2012-08-03,1,1,16628.31,17459.969808920192,-831.6598089201907,5.001469234818154
2012-08-10,1,1,16119.92,16976.39904602504,-856.4790460250388,5.313171814903788
2012-08-17,1,1,17330.7,16174.391593023702,1156.308406976299,6.672023674613829
2012-08-24,1,1,16286.4,17625.460925758838,-1339.0609257588385,8.221957742403713
2012-08-31,1,1,16680.24,17735.057150785316,-1054.8171507853149,6.323752840398668
2012-09-07,1,1,18322.37,17931.864863043982,390.50513695601694,2.131302538678222
2012-09-14,1,1,19616.22,20026.414957058176,-410.1949570581746,2.09110092086128
2012-09-21,1,1,19251.5,20013.369431167943,-761.8694311679428,3.957454905684974
2012-09-28,1,1,18947.81,20085.80049811256,-1137.9904981125583,6.005920990935407
2012-10-05,1,1,21904.47,21649.155841412194,255.31415858780747,1.1655801696539907
2012-10-12,1,1,22764.01,24211.876342790718,-1447.8663427907195,6.360330815136347
2012-10-19,1,1,24185.27,23037.425459267222,1147.8445407327781,4.746048072784708
2012-10-26,1,1,27390.81,27880.03237197091,-489.22237197090726,1.7860821639480804
2012-08-03,1,2,49424.06,49507.99095018045,-83.93095018045278,0.1698179999385983
2012-08-10,1,2,46729.91,47059.11056167718,-329.2005616771785,0.7044750603568003
2012-08-17,1,2,46350.97,46749.062155862666,-398.0921558626651,0.8588647785853566
2012-08-24,1,2,44972.52,47509.47807749424,-2536.958077494244,5.641129466381346
2012-08-31,1,2,50995.5,48983.93163163391,2011.56836836609,3.9445997555982193
2012-09-07,1,2,47344.5,48051.38951306733,-706.8895130673336,1.4930763089003656
2012-09-14,1,2,44493.61,47982.423985494795,-3488.813985494795,7.841157383037238
2012-09-21,1,2,43541.07,45981.70261005286,-2440.6326100528604,5.605357447699058
2012-09-28,1,2,45784.76,46396.859610592175,-612.0996105921731,1.3369068890874891
2012-10-05,1,2,48577.08,48451.409518607354,125.67048139264807,0.25870324316045357
2012-10-12,1,2,42112.67,45902.78953140701,-3790.1195314070137,8.999950683267087
2012-10-19,1,2,42354.72,44460.593182714096,-2105.8731827140946,4.971991746643808
2012-10-26,1,2,43134.88,44284.1166155473,-1149.2366155472992,2.664286108011195
2012-08-03,1,3,30331.69,28044.5905845183,2287.099415481698,7.5402966846941215
2012-08-10,1,3,28257.3,33396.10901274796,-5138.809012747963,18.185775048387363
2012-08-17,1,3,31905.97,35530.77203437252,-3624.802034372522,11.36088962151134
2012-08-24,1,3,43712.78,39112.13058596885,4600.649414031148,10.524723922914873
2012-08-31,1,3,50701.3,31030.45383575689,19670.846164243114,38.79751833630126
2012-09-07,1,3,18368.51,32974.20064738937,-14605.690647389372,79.5148362463225
2012-09-14,1,3,14288.22,18788.304388695182,-4500.0843886951825,31.4950664862046
2012-09-21,1,3,13403.63,13401.564572888312,2.0654271116873133,0.015409460807910344
2012-09-28,1,3,13085.95,13004.597961266598,81.35203873340288,0.6216746872286909
2012-10-05,1,3,11676.98,12820.318815332299,-1143.3388153322994,9.791391398566235
2012-10-12,1,3,10487.17,11871.79338583429,-1384.6233858342894,13.2030222246258
2012-10-19,1,3,8548.87,11081.222154120318,-2532.352154120317,29.62206881284096
2012-10-26,1,3,9350.9,9944.075066407362,-593.1750664073625,6.343507752273711
2012-08-03,1,4,41305.39,40521.327526905865,784.0624730941345,1.8982086190062228
2012-08-10,1,4,40343.83,39873.45881036162,470.37118963838293,1.1659061364237924
2012-08-17,1,4,38105.9,38946.646778537404,-840.7467785374029,2.2063427934713595
2012-08-24,1,4,36674.67,38737.77372221714,-2063.1037222171435,5.6254186396691335
2012-08-31,1,4,37802.97,39441.54335190376,-1638.5733519037603,4.334509568702566
2012-09-07,1,4,39549.27,38674.09500558851,875.1749944114854,2.2128726887031935
2012-09-14,1,4,35044.06,38229.755264746236,-3185.6952647462385,9.090542775997527
2012-09-21,1,4,34507.34,35975.55181431311,-1468.2118143131156,4.254781198183099
2012-09-28,1,4,34647.33,35870.29995904201,-1222.969959042006,3.529766821980239
2012-10-05,1,4,39311.93,38286.06707476834,1025.8629252316605,2.6095460722270833
2012-10-12,1,4,35446.18,36960.30665637608,-1514.12665637608,4.271621529812466
2012-10-19,1,4,35549.19,35812.5565908156,-263.3665908155963,0.740851172180284
